gvkey,iid,gvkeyx,from,thru
010903,01,000003,1994-07-01 00:00:00.000000,
010920,01,000003,2002-07-22 00:00:00.000000,
011032,01,000003,2014-09-22 00:00:00.000000,
011115,01,000003,2007-02-12 00:00:00.000000,
011220,01,000003,2005-08-12 00:00:00.000000,
011228,01,000003,1999-07-01 00:00:00.000000,
011259,01,000003,1982-08-31 00:00:00.000000,
011264,01,000003,1979-12-31 00:00:00.000000,
010974,01,000003,1987-04-30 00:00:00.000000,2009-01-05 00:00:00.000000
010983,01,000003,1964-03-31 00:00:00.000000,
010984,01,000003,1989-07-31 00:00:00.000000,2013-07-08 00:00:00.000000
011060,01,000003,1979-06-30 00:00:00.000000,
011300,01,000003,2007-12-31 00:00:00.000000,2014-09-21 00:00:00.000000
011399,01,000003,2009-07-01 00:00:00.000000,
011446,01,000003,1964-03-31 00:00:00.000000,2015-07-01 00:00:00.000000
011456,01,000003,1964-03-31 00:00:00.000000,
011550,01,000003,2008-10-31 00:00:00.000000,
011609,01,000003,1964-03-31 00:00:00.000000,2008-10-06 00:00:00.000000
011636,01,000003,1964-03-31 00:00:00.000000,
011366,01,000003,1982-03-31 00:00:00.000000,2008-09-29 00:00:00.000000
011465,01,000003,1964-03-31 00:00:00.000000,
011506,01,000003,1975-03-31 00:00:00.000000,
011554,01,000003,2016-07-01 00:00:00.000000,
011555,01,000003,2007-02-22 00:00:00.000000,2015-06-30 00:00:00.000000
011584,01,000003,2016-04-04 00:00:00.000000,2019-08-08 00:00:00.000000
011672,01,000003,1985-09-30 00:00:00.000000,
011687,01,000003,2001-06-25 00:00:00.000000,
011818,01,000003,1998-07-01 00:00:00.000000,2008-06-01 00:00:00.000000
011856,01,000003,1997-12-04 00:00:00.000000,
012136,01,000003,1992-08-01 00:00:00.000000,2010-01-28 00:00:00.000000
012138,01,000003,1999-10-13 00:00:00.000000,
011811,01,000003,2018-11-13 00:00:00.000000,
011910,01,000003,1991-10-01 00:00:00.000000,2011-04-27 00:00:00.000000
011923,01,000003,1997-07-28 00:00:00.000000,2019-08-08 00:00:00.000000
011925,01,000003,2001-01-16 00:00:00.000000,2009-03-26 00:00:00.000000
011925,01,000003,2011-01-18 00:00:00.000000,2015-07-19 00:00:00.000000
012053,01,000003,1996-03-28 00:00:00.000000,2016-09-07 00:00:00.000000
012123,01,000003,1998-01-20 00:00:00.000000,2013-02-13 00:00:00.000000
012124,01,000003,1995-09-22 00:00:00.000000,
012151,01,000003,2016-10-03 00:00:00.000000,
012206,01,000003,2006-12-04 00:00:00.000000,2015-07-28 00:00:00.000000
012141,01,000003,1994-06-01 00:00:00.000000,
012142,01,000003,1989-08-31 00:00:00.000000,
012216,01,000003,2000-04-03 00:00:00.000000,2017-03-12 00:00:00.000000
012233,01,000003,2001-12-14 00:00:00.000000,2011-04-03 00:00:00.000000
012389,01,000003,2000-01-31 00:00:00.000000,
012485,01,000003,2010-12-20 00:00:00.000000,2016-06-23 00:00:00.000000
012540,01,000003,1997-05-06 00:00:00.000000,
012635,01,000003,2001-04-02 00:00:00.000000,
012441,01,000003,2017-04-05 00:00:00.000000,
012689,01,000003,1989-03-31 00:00:00.000000,2009-12-20 00:00:00.000000
012726,01,000003,1994-03-01 00:00:00.000000,
012756,01,000003,1998-10-08 00:00:00.000000,2016-05-30 00:00:00.000000
012788,01,000003,2006-02-01 00:00:00.000000,2017-03-15 00:00:00.000000
012886,01,000003,2015-09-21 00:00:00.000000,2019-03-19 00:00:00.000000
012886,04,000003,2004-12-20 00:00:00.000000,2019-03-19 00:00:00.000000
012950,01,000003,2009-09-09 00:00:00.000000,2016-05-22 00:00:00.000000
012978,01,000003,2012-10-02 00:00:00.000000,2015-07-02 00:00:00.000000
013003,02,000003,2011-02-28 00:00:00.000000,2015-10-07 00:00:00.000000
013125,01,000003,2008-03-31 00:00:00.000000,
013341,01,000003,1997-08-04 00:00:00.000000,
013421,01,000003,2017-09-18 00:00:00.000000,
013440,03,000003,2014-11-05 00:00:00.000000,2017-10-12 00:00:00.000000
012850,01,000003,2010-04-30 00:00:00.000000,
013041,01,000003,1997-11-28 00:00:00.000000,2008-01-01 00:00:00.000000
013365,01,000003,2006-02-27 00:00:00.000000,2008-12-22 00:00:00.000000
013498,01,000003,1998-12-22 00:00:00.000000,
013510,01,000003,2017-07-26 00:00:00.000000,
013561,01,000003,1996-12-03 00:00:00.000000,2009-12-20 00:00:00.000000
013599,01,000003,2006-11-06 00:00:00.000000,
013619,01,000003,2018-05-31 00:00:00.000000,
013646,01,000003,2000-06-21 00:00:00.000000,
013700,01,000003,2008-11-14 00:00:00.000000,
013714,03,000003,1994-09-01 00:00:00.000000,
013721,01,000003,2013-06-24 00:00:00.000000,
013988,01,000003,1997-06-02 00:00:00.000000,
014225,01,000003,2008-09-15 00:00:00.000000,
014256,01,000003,2018-12-03 00:00:00.000000,
014324,01,000003,2000-04-18 00:00:00.000000,2015-12-28 00:00:00.000000
014359,02,000003,2008-09-24 00:00:00.000000,
014650,01,000003,1998-10-01 00:00:00.000000,2013-09-10 00:00:00.000000
014275,04,000003,2019-01-02 00:00:00.000000,
014282,01,000003,2008-09-30 00:00:00.000000,
014418,01,000003,2017-07-26 00:00:00.000000,
014438,01,000003,2012-10-01 00:00:00.000000,2016-05-02 00:00:00.000000
014477,01,000003,1998-07-17 00:00:00.000000,
014489,01,000003,1996-09-06 00:00:00.000000,2013-10-28 00:00:00.000000
014489,02,000003,2016-09-07 00:00:00.000000,2016-09-07 00:00:00.000000
014535,01,000003,2005-12-20 00:00:00.000000,2008-06-30 00:00:00.000000
014590,02,000003,1995-07-31 00:00:00.000000,
014623,01,000003,2000-06-19 00:00:00.000000,2012-06-04 00:00:00.000000
014624,01,000003,1999-06-24 00:00:00.000000,2010-12-19 00:00:00.000000
014824,01,000003,1997-12-18 00:00:00.000000,
014934,01,000003,2000-08-30 00:00:00.000000,
014960,01,000003,2004-11-01 00:00:00.000000,
015208,01,000003,1992-01-02 00:00:00.000000,2008-09-10 00:00:00.000000
015247,01,000003,2004-04-29 00:00:00.000000,
015267,01,000003,2019-08-09 00:00:00.000000,
015520,01,000003,2015-07-29 00:00:00.000000,2018-03-18 00:00:00.000000
015521,01,000003,1998-10-07 00:00:00.000000,2017-09-17 00:00:00.000000
015855,01,000003,2003-03-31 00:00:00.000000,
016101,01,000003,2013-01-02 00:00:00.000000,
016243,01,000003,1997-07-02 00:00:00.000000,2008-09-29 00:00:00.000000
016245,01,000003,2008-11-13 00:00:00.000000,
015708,01,000003,1992-02-07 00:00:00.000000,2015-03-22 00:00:00.000000
015709,01,000003,2002-01-17 00:00:00.000000,2016-02-21 00:00:00.000000
016478,01,000003,2000-11-02 00:00:00.000000,
016721,01,000003,2002-07-22 00:00:00.000000,
016784,01,000003,2006-06-06 00:00:00.000000,2008-03-30 00:00:00.000000
018872,01,000003,2018-06-07 00:00:00.000000,
017120,01,000003,2018-03-19 00:00:00.000000,
